County,WeekStartDate,NewPos_All,Age 0-19,Age 20-39,Age 40-59,Age 60-79,Age 80+,Positive UnkAge,dtm_updated
Adams County,2020-03-08,4,0,1,1,2,0,0,2020/05/12 13:29:40
Adams County,2020-03-15,3,0,0,3,0,0,0,2020/05/12 13:29:40
Adams County,2020-03-22,9,0,1,4,4,0,0,2020/05/12 13:29:40
Adams County,2020-03-29,18,2,9,4,3,0,0,2020/05/12 13:29:40
Adams County,2020-04-05,8,1,2,4,1,0,0,2020/05/12 13:29:40
Adams County,2020-04-12,2,0,1,1,0,0,0,2020/05/12 13:29:40
Adams County,2020-04-19,4,0,4,0,0,0,0,2020/05/12 13:29:40
Adams County,2020-04-26,2,0,1,1,0,0,0,2020/05/12 13:29:40
Asotin County,2020-03-15,2,0,0,0,2,0,0,2020/05/12 13:29:40
Asotin County,2020-03-29,2,0,0,2,0,0,0,2020/05/12 13:29:40
Asotin County,2020-04-05,7,0,1,4,1,1,0,2020/05/12 13:29:40
Asotin County,2020-04-12,4,1,0,3,0,0,0,2020/05/12 13:29:40
Asotin County,2020-04-19,3,0,0,0,2,1,0,2020/05/12 13:29:40
Benton County,2020-02-16,1,0,1,0,0,0,0,2020/05/12 13:29:40
Benton County,2020-03-01,6,0,0,0,2,4,0,2020/05/12 13:29:40
Benton County,2020-03-08,17,0,3,4,6,4,0,2020/05/12 13:29:40
Benton County,2020-03-15,55,2,14,15,10,13,1,2020/05/12 13:29:40
Benton County,2020-03-22,102,3,20,28,26,25,0,2020/05/12 13:29:40
Benton County,2020-03-29,87,2,24,29,20,12,0,2020/05/12 13:29:40
Benton County,2020-04-05,70,7,20,29,12,2,0,2020/05/12 13:29:40
Benton County,2020-04-12,63,3,29,20,9,2,0,2020/05/12 13:29:40
Benton County,2020-04-19,95,6,38,23,16,12,0,2020/05/12 13:29:40
Benton County,2020-04-26,68,6,18,21,14,9,0,2020/05/12 13:29:40
Benton County,2020-05-03,23,3,7,5,7,1,0,2020/05/12 13:29:40
Benton County,2020-05-10,1,0,0,1,0,0,0,2020/05/12 13:29:40
Chelan County,2020-03-08,8,0,1,5,1,1,0,2020/05/12 13:29:40
Chelan County,2020-03-15,7,0,3,0,2,2,0,2020/05/12 13:29:40
Chelan County,2020-03-22,12,0,3,2,3,4,0,2020/05/12 13:29:40
Chelan County,2020-03-29,24,1,7,6,9,1,0,2020/05/12 13:29:40
Chelan County,2020-04-05,15,0,10,4,1,0,0,2020/05/12 13:29:40
Chelan County,2020-04-12,25,1,18,6,0,0,0,2020/05/12 13:29:40
Chelan County,2020-04-19,25,5,7,8,5,0,0,2020/05/12 13:29:40
Chelan County,2020-04-26,18,2,6,5,5,0,0,2020/05/12 13:29:40
Chelan County,2020-05-03,16,3,7,6,0,0,0,2020/05/12 13:29:40
Clallam County,2020-03-01,2,0,0,0,2,0,0,2020/05/12 13:29:40
Clallam County,2020-03-08,5,0,0,2,3,0,0,2020/05/12 13:29:40
Clallam County,2020-03-15,3,0,2,0,1,0,0,2020/05/12 13:29:40
Clallam County,2020-03-29,3,0,2,0,1,0,0,2020/05/12 13:29:40
Clallam County,2020-04-05,1,0,0,1,0,0,0,2020/05/12 13:29:40
Clallam County,2020-04-19,4,0,3,0,0,1,0,2020/05/12 13:29:40
Clallam County,2020-04-26,1,0,1,0,0,0,0,2020/05/12 13:29:40
Clark County,2020-02-23,3,0,0,1,1,1,0,2020/05/12 13:29:40
Clark County,2020-03-01,5,0,0,2,0,3,0,2020/05/12 13:29:40
Clark County,2020-03-08,29,0,3,15,11,0,0,2020/05/12 13:29:40
Clark County,2020-03-15,57,2,10,26,15,4,0,2020/05/12 13:29:40
Clark County,2020-03-22,66,0,21,25,18,2,0,2020/05/12 13:29:40
Clark County,2020-03-29,51,1,11,19,17,3,0,2020/05/12 13:29:40
Clark County,2020-04-05,61,2,19,17,16,7,0,2020/05/12 13:29:40
Clark County,2020-04-12,38,1,5,12,12,8,0,2020/05/12 13:29:40
Clark County,2020-04-19,18,3,3,5,1,6,0,2020/05/12 13:29:40
Clark County,2020-04-26,18,3,6,5,3,1,0,2020/05/12 13:29:40
Clark County,2020-05-03,15,4,6,4,1,0,0,2020/05/12 13:29:40
Clark County,2020-05-10,1,0,0,1,0,0,0,2020/05/12 13:29:40
Cowlitz County,2020-02-23,1,0,0,0,1,0,0,2020/05/12 13:29:40
Cowlitz County,2020-03-01,1,0,0,0,1,0,0,2020/05/12 13:29:40
Cowlitz County,2020-03-08,8,0,2,1,5,0,0,2020/05/12 13:29:40
Cowlitz County,2020-03-15,8,0,3,1,3,1,0,2020/05/12 13:29:40
Cowlitz County,2020-03-22,3,0,2,0,1,0,0,2020/05/12 13:29:40
Cowlitz County,2020-03-29,7,1,1,2,3,0,0,2020/05/12 13:29:40
Cowlitz County,2020-04-05,6,0,0,4,2,0,0,2020/05/12 13:29:40
Cowlitz County,2020-04-12,10,0,2,2,6,0,0,2020/05/12 13:29:40
Cowlitz County,2020-04-19,5,0,3,2,0,0,0,2020/05/12 13:29:40
Cowlitz County,2020-04-26,12,4,5,1,2,0,0,2020/05/12 13:29:40
Cowlitz County,2020-05-03,5,1,1,1,2,0,0,2020/05/12 13:29:40
Douglas County,2020-03-01,2,0,0,1,0,0,1,2020/05/12 13:29:40
Douglas County,2020-03-08,1,0,0,0,0,1,0,2020/05/12 13:29:40
Douglas County,2020-03-15,1,0,0,0,1,0,0,2020/05/12 13:29:40
Douglas County,2020-03-22,9,3,1,2,1,2,0,2020/05/12 13:29:40
